"","X","yyyy","mm","dd","obs.mm.","p24_cat0"
"307",307,2003,11,3,0,0.7
"308",308,2003,11,4,1.7,0.7
"309",309,2003,11,5,0,0.1
"310",310,2003,11,6,0.2,0.1
"311",311,2003,11,7,0,0.1
"312",312,2003,11,8,0,0
"313",313,2003,11,9,0,0
"314",314,2003,11,10,999,0.2
"315",315,2003,11,11,999,0.3
"316",316,2003,11,12,0,-999
"317",317,2003,11,13,0,0
"318",318,2003,11,14,0.8,0.5
"319",319,2003,11,15,0,0
"320",320,2003,11,16,1,1
"321",321,2003,11,17,1,0.7
"322",322,2003,11,18,0.3,0.5
"323",323,2003,11,19,0.1,0.6
"324",324,2003,11,20,1.1,0.4
"325",325,2003,11,21,0,0.3
"326",326,2003,11,22,0,0.4
"327",327,2003,11,23,0.2,0.3
"328",328,2003,11,24,0.7,-999
"329",329,2003,11,25,0,0
"330",330,2003,11,26,4,0.8
"331",331,2003,11,27,9.6,1
"332",332,2003,11,28,1.7,1
"333",333,2003,11,29,0.1,0.8
"334",334,2003,11,30,0.1,0.5
"335",335,2003,12,1,0.4,0.2
"336",336,2003,12,2,0,0.1
"337",337,2003,12,3,0,0.1
"338",338,2003,12,4,0.3,0.2
"339",339,2003,12,5,0,0.1
"340",340,2003,12,6,0,0.1
"341",341,2003,12,7,0,0.9
"342",342,2003,12,8,0,0.1
"343",343,2003,12,9,0,0
"344",344,2003,12,10,0,0.6
"345",345,2003,12,11,0,0.7
"346",346,2003,12,12,0,0.1
"347",347,2003,12,13,0,0.1
"348",348,2003,12,14,1.8,1
"349",349,2003,12,15,3.1,0.6
"350",350,2003,12,16,0,0.2
"351",351,2003,12,17,2.6,0.8
"352",352,2003,12,18,0.2,0.8
"353",353,2003,12,19,0,0.6
"354",354,2003,12,20,0,0.4
"355",355,2003,12,21,3.1,0.6
"356",356,2003,12,22,1.8,0.3
"357",357,2003,12,23,0.5,0.1
"358",358,2003,12,24,0.4,0.9
"359",359,2003,12,25,0.3,0.7
"360",360,2003,12,26,0,0.3
"361",361,2003,12,27,4.9,0.8
"362",362,2003,12,28,1.2,1
"363",363,2003,12,29,8.3,0.9
"364",364,2003,12,30,0,0.1
"365",365,2003,12,31,0,0.1
